Crime Code,year,date_reported,DR_NO,TIME OCC,AREA ,Crm Cd,LAT,LON,Crime Count
624,2010,2010-01-23,302616072,5450,26,1872,102.18480000000001,-354.8127,3
310,2010,2010-01-23,303516280,5259,35,930,102.2189,-354.818,3
624,2010,2010-01-24,200410426,2055,4,1248,68.1175,-236.55759999999998,2
220,2010,2010-01-24,100105293,1715,1,220,34.0451,-118.2604,1
330,2010,2010-01-24,200310498,1900,3,660,68.12729999999999,-236.5335,2
210,2010,2010-01-24,402621341,5855,26,840,136.3026,-473.0997,4
354,2010,2010-01-24,100205232,100,2,354,34.0539,-118.2712,1
627,2010,2010-01-24,100200529,2025,2,627,34.0613,-118.2689,1
740,2010,2010-01-24,405022223,4440,50,2960,136.16559999999998,-473.0702,4
626,2010,2010-01-24,100205257,2215,2,626,34.0539,-118.2712,1
230,2010,2010-01-24,101305607,2045,13,230,34.0218,-118.2665,1
510,2010,2010-01-24,502026519,5310,20,2550,170.23669999999998,-591.3275,5
121,2010,2010-01-24,100205248,1830,2,121,34.058,-118.2759,1
320,2010,2010-01-24,101305603,2000,13,320,34.0111,-118.2784,1
745,2010,2010-01-24,301716076,5650,17,2235,102.1366,-354.80740000000003,3
761,2010,2010-01-24,101105422,500,11,761,34.0865,-118.2753,1
930,2010,2010-01-24,100205251,1540,2,930,34.0488,-118.2775,1
930,2010,2010-01-25,101305699,1430,13,930,34.0111,-118.274,1
888,2010,2010-01-25,101105452,500,11,888,34.1151,-118.2614,1
901,2010,2010-01-25,101305690,1230,13,901,34.025,-118.2618,1
510,2010,2010-01-25,202611271,2221,26,1020,68.0188,-236.5466,2
341,2010,2010-01-25,201310762,2920,13,682,68.1476,-236.5528,2
210,2010,2010-01-25,302816579,2570,28,630,102.07899999999998,-354.8252,3
420,2010,2010-01-25,300515854,4930,5,1260,102.13979999999998,-354.8135,3
330,2010,2010-01-25,302416263,4160,24,990,102.26050000000001,-354.8157,3
815,2010,2010-01-25,101105466,100,11,815,34.1255,-118.2648,1
626,2010,2010-01-25,301516088,5530,15,1878,102.21029999999999,-354.81960000000004,3
110,2010,2010-01-25,100206715,900,2,110,34.0538,-118.2667,1
745,2010,2010-01-25,302416244,2846,24,2235,102.28389999999999,-354.80850000000004,3
740,2010,2010-01-25,202611438,2525,26,1480,68.03,-236.5405,2
331,2010,2010-01-25,202210918,4300,22,662,68.21350000000001,-236.5429,2
956,2010,2010-01-25,100205321,2000,2,956,34.0509,-118.2642,1
649,2010,2010-01-25,101305712,1,13,649,34.0011,-118.2718,1
230,2010,2010-01-25,100205319,2050,2,230,34.0573,-118.2691,1
121,2010,2010-01-25,100305526,100,3,121,34.0278,-118.2783,1
354,2010,2010-01-25,101105479,1200,11,354,34.1323,-118.2702,1
624,2010,2010-01-26,401921849,6020,19,2496,136.1901,-473.0844,4
